product_name,brand,category,ingredients,skin_type,price,rating
Re-contextualized non-volatile Local Area Network Toner,Himalaya,moisturizer,"glycolic acid, aloe vera, kojic acid, turmeric, niacinamide",sensitive,255.16,2.2
Persistent directional time-frame Cleanser,Cetaphil,toner,"vitamin C, salicylic acid, rose water, green tea, hyaluronic acid",combination,1786.85,4.2
Reactive optimizing analyzer Face mask,Nivea,serum,"retinol, niacinamide, aloe vera, rose water, hyaluronic acid",sensitive,1553.67,4.5
Inverse eco-centric protocol Cleanser,Forest Essentials,cleanser,"glycolic acid, zinc, rose water",dry,609.58,3.5
Implemented dedicated Internet solution Face wash,WOW Skin Science,eye cream,"kojic acid, turmeric, salicylic acid, ceramides",dry,537.87,1.2
Implemented systemic Graphical User Interface Cleanser,Aqualogica,eye cream,"green tea, turmeric, aloe vera, retinol",dry,590.61,3.7
Business-focused foreground productivity Sunscreen,WOW Skin Science,face mask,"charcoal, tea tree oil, kojic acid, zinc, niacinamide",dry,258.19,1.6
Universal asymmetric application Cleanser,Lakme,eye cream,"charcoal, aloe vera, rose water",oily,1445.47,2.7
Stand-alone optimal service-desk Eye cream,WOW Skin Science,face wash,"shea butter, tea tree oil, rose water, glycolic acid",dry,1100.15,3.2
Synergized intangible utilization Face mask,Forest Essentials,serum,"vitamin C, ceramides, hyaluronic acid",combination,1437.05,4.2
Right-sized empowering customer loyalty Toner,The Ordinary,face wash,"glycolic acid, retinol, rose water",oily,866.48,2.3
Programmable 3rdgeneration help-desk Moisturizer,Minimalist,toner,"kojic acid, zinc, ceramides",oily,1537.78,1.4
Balanced global superstructure Cleanser,The Ordinary,face mask,"vitamin C, glycolic acid, salicylic acid",oily,698.56,4.8
Integrated eco-centric help-desk Eye cream,Plum,face wash,"hyaluronic acid, vitamin C, shea butter, turmeric",normal,1631.42,1.2
Focused bottom-line software Toner,Minimalist,face wash,"retinol, salicylic acid, vitamin C, zinc, charcoal",combination,181.76,4.9
Proactive user-facing toolset Sunscreen,WOW Skin Science,eye cream,"tea tree oil, ceramides, shea butter, salicylic acid, charcoal",combination,1551.33,5
Customizable well-modulated Local Area Network Toner,Nivea,face mask,"vitamin C, charcoal, zinc, glycolic acid",sensitive,1906.02,2.7
Realigned explicit Graphical User Interface Face mask,Mamaearth,face mask,"kojic acid, charcoal, retinol, niacinamide",dry,151.45,4.5
Progressive incremental artificial intelligence Serum,Himalaya,face mask,"hyaluronic acid, aloe vera, charcoal, retinol",dry,1455.72,2.3
Enterprise-wide even-keeled infrastructure Face wash,Neutrogena,sunscreen,"niacinamide, kojic acid, green tea, ceramides",oily,1514.05,2.7
Customizable incremental intranet Cleanser,Himalaya,serum,"shea butter, hyaluronic acid, glycolic acid",sensitive,1062.17,3.7
Reactive methodical collaboration Face mask,Minimalist,cleanser,"rose water, shea butter, retinol, aloe vera, charcoal",dry,922.3,4
Future-proofed didactic software Eye cream,WOW Skin Science,cleanser,"aloe vera, vitamin C, tea tree oil, kojic acid, niacinamide",dry,176.76,3.6
Multi-channeled well-modulated attitude Toner,L'Oreal Paris,sunscreen,"retinol, shea butter, green tea",oily,1152.74,2.6
Cross-group neutral capacity Toner,Dot & Key,serum,"salicylic acid, zinc, hyaluronic acid, glycolic acid, vitamin C",normal,701.1,2.1
Implemented intermediate contingency Face mask,Nivea,serum,"salicylic acid, ceramides, shea butter, vitamin C",sensitive,637.54,2.1
Customizable secondary portal Toner,Olay,eye cream,"turmeric, kojic acid, green tea",oily,1979.58,4.9
Right-sized bifurcated benchmark Moisturizer,Biotique,sunscreen,"aloe vera, salicylic acid, turmeric, zinc, glycolic acid",normal,1742.01,4.2
User-centric tangible capability Cleanser,The Ordinary,face wash,"retinol, hyaluronic acid, tea tree oil",sensitive,1851.37,4.7
Streamlined methodical encryption Cleanser,Forest Essentials,sunscreen,"zinc, shea butter, retinol, ceramides",normal,1477.5,3.3
Sharable demand-driven Local Area Network Cleanser,The Ordinary,eye cream,"green tea, salicylic acid, zinc, rose water",combination,1534.46,4.4
Customizable maximized Graphic Interface Serum,Plum,moisturizer,"turmeric, retinol, green tea, ceramides",sensitive,1700.01,3.8
Digitized actuating function Sunscreen,Dot & Key,face mask,"retinol, glycolic acid, ceramides, green tea, shea butter",oily,1893.33,3.3
Streamlined user-facing infrastructure Toner,Nivea,sunscreen,"tea tree oil, niacinamide, salicylic acid, aloe vera",oily,500.2,3
Progressive client-driven complexity Eye cream,Dove,toner,"green tea, retinol, ceramides",dry,458.45,1.2
Networked logistical analyzer Toner,L'Oreal Paris,eye cream,"glycolic acid, vitamin C, zinc, ceramides",sensitive,1582.59,3.9
Grass-roots 3rdgeneration migration Moisturizer,Forest Essentials,toner,"aloe vera, tea tree oil, kojic acid",oily,1521.09,3
Profound transitional infrastructure Sunscreen,L'Oreal Paris,cleanser,"vitamin C, green tea, aloe vera",normal,256.78,1.4
Switchable responsive budgetary management Eye cream,Dove,toner,"retinol, glycolic acid, vitamin C, rose water",oily,562.04,2.5
Innovative zero tolerance toolset Face mask,Himalaya,face mask,"niacinamide, salicylic acid, glycolic acid",combination,1920.11,2.1
Advanced user-facing access Sunscreen,Neutrogena,eye cream,"ceramides, retinol, salicylic acid",combination,856.49,2.1
Future-proofed zero-defect installation Eye cream,Neutrogena,face wash,"zinc, kojic acid, salicylic acid, ceramides",sensitive,1372.95,4.9
Public-key coherent neural-net Cleanser,Pond's,eye cream,"tea tree oil, zinc, salicylic acid, hyaluronic acid, rose water",oily,1465.46,1.4
Reactive 4thgeneration flexibility Eye cream,Biotique,toner,"shea butter, kojic acid, turmeric, niacinamide",oily,1394.42,4.1
Devolved object-oriented orchestration Sunscreen,Cetaphil,face wash,"hyaluronic acid, zinc, turmeric",sensitive,126.73,4.5
Compatible 5thgeneration productivity Eye cream,Mamaearth,moisturizer,"glycolic acid, retinol, shea butter",combination,965.06,2.1
Triple-buffered static ability Toner,Cetaphil,eye cream,"kojic acid, aloe vera, vitamin C, salicylic acid",oily,260.83,3.9
Quality-focused responsive knowledgebase Serum,Lakme,eye cream,"kojic acid, zinc, vitamin C",combination,1054.18,4.3
Cloned asynchronous installation Cleanser,The Derma Co,face wash,"glycolic acid, ceramides, rose water, green tea, hyaluronic acid",oily,1201,2.9
Automated web-enabled secured line Toner,Biotique,face wash,"rose water, glycolic acid, tea tree oil",oily,848.73,2.5
Vision-oriented explicit focus group Sunscreen,L'Oreal Paris,eye cream,"tea tree oil, green tea, ceramides, turmeric",sensitive,487.95,2.4
Monitored logistical adapter Face wash,Neutrogena,sunscreen,"ceramides, green tea, kojic acid",combination,1109.58,4.8
